iter	Passed	Remaining
0	24	24687
1	48	24055
2	71	23729
3	94	23491
4	117	23340
5	140	23330
6	164	23310
7	187	23205
8	210	23213
9	234	23190
10	262	23639
11	292	24075
12	319	24273
13	342	24155
14	365	24029
15	389	23924
16	411	23816
17	434	23713
18	459	23748
19	493	24205
20	528	24652
21	552	24546
22	575	24434
23	598	24336
24	621	24237
25	644	24142
26	667	24067
27	695	24134
28	723	24208
29	750	24258
30	773	24182
31	797	24117
32	820	24055
33	844	23986
34	867	23916
35	896	24007
36	922	24021
37	951	24097
38	977	24095
39	1001	24025
40	1024	23970
41	1049	23932
42	1072	23870
43	1096	23821
44	1122	23827
45	1150	23864
46	1180	23943
47	1205	23907
48	1229	23861
49	1253	23815
50	1276	23760
51	1300	23707
52	1332	23815
53	1361	23856
54	1386	23831
55	1411	23789
56	1438	23794
57	1462	23745
58	1485	23695
59	1509	23652
60	1539	23699
61	1567	23711
62	1593	23696
63	1618	23667
64	1641	23612
65	1666	23587
66	1691	23548
67	1714	23498
68	1741	23493
69	1767	23481
70	1797	23514
71	1821	23481
72	1845	23439
73	1870	23405
74	1894	23369
75	1920	23344
76	1945	23319
77	1972	23319
78	2002	23346
79	2026	23299
80	2050	23259
81	2073	23215
82	2097	23170
83	2120	23128
84	2146	23101
85	2184	23217
86	2214	23240
87	2238	23199
88	2261	23152
89	2286	23118
90	2309	23070
91	2336	23056
92	2361	23035
93	2387	23012
94	2414	22997
95	2437	22950
96	2460	22905
97	2483	22862
98	2507	22824
99	2530	22777
100	2557	22762
101	2585	22758
102	2614	22769
103	2641	22758
104	2665	22717
105	2689	22679
106	2712	22636
107	2736	22600
108	2759	22555
109	2795	22616
110	2824	22619
111	2862	22693
112	2885	22648
113	2911	22626
114	2934	22582
115	2957	22539
116	2986	22535
117	3014	22529
118	3044	22537
119	3067	22497
120	3091	22455
121	3114	22412
122	3138	22375
123	3162	22338
124	3186	22302
125	3213	22292
126	3243	22295
127	3271	22289
128	3295	22252
129	3322	22234
130	3345	22193
131	3369	22153
132	3394	22126
133	3424	22132
134	3449	22103
135	3477	22090
136	3500	22051
137	3524	22018
138	3548	21979
139	3572	21942
140	3597	21919
141	3623	21894
142	3654	21900
143	3685	21909
144	3711	21882
145	3736	21858
146	3760	21819
147	3783	21783
148	3807	21743
149	3835	21735
150	3870	21761
151	3894	21727
152	3918	21692
153	3945	21674
154	3971	21652
155	3996	21620
156	4026	21621
157	4052	21598
158	4087	21621
159	4110	21582
160	4134	21543
161	4161	21524
162	4186	21497
163	4210	21461
164	4235	21434
165	4261	21411
166	4289	21394
167	4313	21364
168	4337	21327
169	4364	21310
170	4388	21274
171	4411	21235
172	4440	21225
173	4465	21196
174	4490	21169
175	4518	21156
176	4542	21122
177	4565	21085
178	4589	21047
179	4612	21011
180	4635	20976
181	4667	20980
182	4693	20954
183	4733	20990
184	4756	20952
185	4779	20916
186	4803	20882
187	4826	20846
